REGION,ACTOR1,total_fatalities,Actor_rank
Northern Africa,Military Forces of Sudan (1989-2019),10377,1
Northern Africa,GIA: Armed Islamic Group,6171,2
Northern Africa,Janjaweed,4843,3
Northern Africa,Unidentified Armed Group (Sudan),2971,4
Northern Africa,LRA: Lords Resistance Army,2773,5
Northern Africa,Unidentified Armed Group (Libya),1573,6
Northern Africa,Operation Unified Protector: NATO Mission in Libya (2011-2011),1467,7
Northern Africa,Rapid Support Forces,1136,8
Northern Africa,Lou Nuer Ethnic Militia (Sudan),994,9
Northern Africa,Militia (Pro-Government),939,10
North America,Unidentified Gang (Mexico),22713,1
North America,Unidentified Armed Group (Mexico),15386,2
North America,CJNG: Jalisco New Generation Cartel,505,3
North America,Rioters (Mexico),248,4
North America,Sole Perpetrator (United States),162,5
North America,Santa Rosa de Lima Cartel,141,6
North America,CDN: Cartel del Noreste,77,7
North America,Unidentified Communal Militia (Mexico),73,8
North America,Sinaloa Cartel,70,9
North America,La Familia Michoacana Cartel,64,10
South America,Unidentified Gang and/or Police Militia,10167,1
South America,Unidentified Armed Group (Colombia),6130,2
South America,Unidentified Armed Group (Brazil),4352,3
South America,Unidentified Gang (Brazil),3207,4
South America,Unidentified Gang and/or Colectivo,993,5
South America,Police Forces of Venezuela (1999-) FAES: Special Action Forces,729,6
South America,Unidentified Armed Group (Venezuela),555,7
South America,Police Forces of Venezuela (1999-),430,8
South America,Gulf Clan,395,9
South America,Military Forces of Brazil (2019-2022) Military Police,257,10
Caribbean,Unidentified Armed Group (Jamaica),933,1
Caribbean,Unidentified Armed Group (Trinidad and Tobago),771,2
Caribbean,Unidentified Gang (Haiti),555,3
Caribbean,Unidentified Armed Group (Puerto Rico),515,4
Caribbean,Unidentified Armed Group (Haiti),376,5
Caribbean,Unidentified Gang (Jamaica),289,6
Caribbean,Unidentified Gang (Trinidad and Tobago),261,7
Caribbean,Unidentified Gang (Puerto Rico),207,8
Caribbean,Canaan Gang,140,9
Caribbean,Baz Gran Grif de Savien Gang,120,10
Caucasus and Central Asia,Unidentified Armed Group (Afghanistan),3863,1
Caucasus and Central Asia,Taliban,2838,2
Caucasus and Central Asia,Islamic State (Afghanistan),1616,3
Caucasus and Central Asia,Military Forces of Afghanistan (2021-),775,4
Caucasus and Central Asia,Military Forces of Afghanistan (2014-2021),733,5
Caucasus and Central Asia,NATO: North Atlantic Treaty Organization,246,6
Caucasus and Central Asia,Police Forces of Afghanistan (2014-2021) National Directorate of Security,85,7
Caucasus and Central Asia,Military Forces of Azerbaijan (2003-),76,8
Caucasus and Central Asia,Military Forces of Artsakh (2007-),75,9
Caucasus and Central Asia,Afghan and/or NATO Forces,65,10
Eastern Africa,Military Forces of Ethiopia (1991-2018),6497,1
Eastern Africa,Al Shabaab,6257,2
Eastern Africa,Unidentified Armed Group (Somalia),4325,3
Eastern Africa,Hutu Rebels,3880,4
Eastern Africa,Lou Clan Militia (South Sudan),3794,5
Eastern Africa,Military Forces of South Sudan (2011-),3708,6
Eastern Africa,LRA: Lords Resistance Army,3509,7
Eastern Africa,Unidentified Armed Group (South Sudan),3009,8
Eastern Africa,Military Forces of Eritrea (1993-),2587,9
Eastern Africa,Military Forces of Burundi (1996-2005),2453,10
Europe,Military Forces of Russia (2000-),4929,1
Europe,Military Forces of Russia (2000-) Air Force,1171,2
Europe,Unidentified Military Forces,166,3
Europe,Military Forces of Ukraine (2019-),128,4
Europe,Unidentified Armed Group (Ukraine),122,5
Europe,Wagner Group,56,6
Europe,Unidentified Armed Group (Russia),42,7
Europe,Military Forces of Russia (2000-) Navy,38,8
Europe,Atesh,30,9
Europe,Unidentified Armed Group (Germany),29,10
Middle Africa,UNITA: National Union for the Total Independence of Angola,18357,1
Middle Africa,ADF: Allied Democratic Forces,6091,2
Middle Africa,LRA: Lords Resistance Army,4483,3
